=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.2 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
     1668        6:5        6:5       0.998 
     1669       10:9       10:9       0.881 
     1670        2:1        2:1       1 
     1671        2:1        4:3   +   0.805 
     1672        9:8        9:8       0.992 
     1673        1:0        1:0       0.898 
     1674       10:9       10:9       0.99 
     1675       10:9       10:9       1 
     1676        2:1        2:1       0.994 
     1677        9:8        9:8       1 
     1678        1:0        1:0       0.996 
     1679        2:1        2:1       0.999 
     1680        2:1        2:1       1 
     1681        2:1        2:1       0.999 
     1682        2:1        2:1       0.995 
     1683        5:4        5:4       0.999 
     1684       10:9       10:9       0.998 
     1685        9:8       10:9   +   0.604 
     1686       10:9       10:9       0.671 
     1687        1:0        1:0       0.991 
     1688        6:5        6:5       0.998 
     1689       10:9       10:9       0.994 
     1690        5:4        5:4       0.677 
     1691       10:9       10:9       0.991 
     1692        7:6        7:6       0.972 
     1693        3:2        3:2       0.994 
     1694        6:5        6:5       1 
     1695       10:9       10:9       1 
     1696        2:1        2:1       0.997 
     1697       10:9       10:9       0.917 
     1698       10:9       10:9       0.996 
     1699        2:1        2:1       0.989 
     1700        5:4        5:4       0.999 
     1701        2:1        2:1       0.996 
     1702        2:1        2:1       0.999 
     1703        3:2        6:5   +   0.569 
     1704       10:9       10:9       0.953 
     1705        7:6        7:6       0.523 
     1706       10:9       10:9       0.995 
     1707        4:3        4:3       0.997 
     1708        1:0        1:0       0.99 
     1709        2:1        2:1       0.995 
     1710       10:9        5:4   +   0.993 
     1711        2:1        2:1       0.999 
     1712        2:1        2:1       0.999 
     1713        2:1        2:1       0.995 
     1714        2:1        2:1       0.922 
     1715       10:9       10:9       1 
     1716        3:2        3:2       0.928 
     1717        2:1        2:1       0.986 
     1718       10:9       10:9       0.998 
     1719        2:1        2:1       1 
     1720        6:5        6:5       0.998 
     1721        9:8        9:8       0.951 
     1722        6:5        6:5       0.999 
     1723        6:5        6:5       0.991 
     1724       10:9       10:9       0.991 
     1725        8:7        2:1   +   0.658 
     1726       10:9        6:5   +   0.815 
     1727        9:8        9:8       0.992 
     1728        5:4        5:4       0.977 
     1729       10:9       10:9       0.987 
     1730        1:0        1:0       0.99 
     1731        5:4        5:4       0.999 
     1732        8:7        8:7       0.998 
     1733        9:8        9:8       0.999 
     1734       10:9       10:9       1 
     1735       10:9       10:9       1 
     1736       10:9       10:9       0.994 
     1737       10:9       10:9       0.996 
     1738        9:8        9:8       0.996 
     1739        6:5        6:5       0.996 
     1740        2:1        2:1       0.987 
     1741       10:9       10:9       0.974 
     1742       10:9        7:6   +   0.897 
     1743        2:1        1:0   +   0.514 
     1744        1:0        1:0       0.996 
     1745       10:9       10:9       0.988 
     1746        1:0        1:0       0.976 
     1747        1:0        1:0       0.972 
     1748        8:7        8:7       0.999 
     1749       10:9       10:9       1 
     1750        2:1        2:1       0.999 
     1751       10:9       10:9       0.955 
     1752       10:9       10:9       0.999 
     1753        1:0        1:0       0.894 
     1754        8:7        8:7       0.999 
     1755        6:5        6:5       0.918 
     1756        2:1        2:1       0.998 
     1757        1:0        1:0       0.988 
     1758        2:1        2:1       0.998 
     1759        2:1        2:1       0.999 
     1760        5:4        5:4       0.997 
     1761        6:5        6:5       0.997 
     1762        5:4        5:4       0.968 
     1763       10:9       10:9       0.999 
     1764        7:6        7:6       0.981 
     1765        6:5        4:3   +   0.505 
     1766       10:9       10:9       0.997 
     1767        6:5        6:5       1 
     1768       10:9       10:9       0.628 
     1769       10:9       10:9       0.931 
     1770        6:5        6:5       0.996 
     1771        9:8        9:8       0.927 
     1772        9:8        9:8       0.983 
     1773       10:9       10:9       0.997 
     1774        6:5        6:5       0.988 
     1775        2:1        2:1       0.999 
     1776        2:1        2:1       0.999 
     1777       10:9       10:9       0.997 
     1778       10:9       10:9       0.982 
     1779        7:6        7:6       0.975 
     1780        1:0        1:0       0.988 
     1781        2:1        2:1       0.994 
     1782        2:1        2:1       0.982 
     1783        4:3        4:3       0.986 
     1784        1:0        1:0       0.989 
     1785        1:0        1:0       0.804 
     1786        5:4        5:4       0.805 
     1787        1:0        1:0       0.997 
     1788        1:0        1:0       1 
     1789        9:8        9:8       0.997 
     1790       10:9       10:9       0.998 
     1791        9:8        9:8       0.935 
     1792        5:4        5:4       0.97 
     1793        2:1        2:1       0.998 
     1794        5:4        5:4       0.993 
     1795        2:1        2:1       0.996 
     1796       10:9       10:9       0.993 
     1797        6:5        6:5       0.988 
     1798        1:0        1:0       0.999 
     1799        8:7        8:7       0.991 
     1800        6:5        6:5       0.906 
     1801        5:4        5:4       1 
     1802        6:5        6:5       0.984 
     1803        5:4        6:5   +   0.749 
     1804        2:1        2:1       0.984 
     1805        1:0        1:0       1 
     1806        2:1        2:1       0.989 
     1807       10:9       10:9       0.979 
     1808       10:9       10:9       0.999 
     1809       10:9        6:5   +   0.958 
     1810        2:1        2:1       0.946 
     1811        3:2        3:2       0.557 
     1812        6:5        6:5       0.973 
     1813        9:8        9:8       0.872 
     1814        5:4        5:4       0.96 
     1815        2:1        2:1       0.999 
     1816        5:4       10:9   +   0.536 
     1817       10:9       10:9       0.997 
     1818        9:8       10:9   +   0.544 
     1819        9:8       10:9   +   0.663 
     1820        1:0        5:4   +   0.903 
     1821        2:1        2:1       1 
     1822        9:8        9:8       0.997 
     1823        5:4        5:4       0.829 
     1824        1:0        1:0       0.957 
     1825        2:1        2:1       1 
     1826        4:3        4:3       0.997 
     1827        2:1        2:1       1 
     1828        9:8        9:8       0.897 
     1829        2:1        2:1       0.999 
     1830       10:9       10:9       0.995 
     1831        2:1        2:1       0.998 
     1832        5:4        5:4       0.997 
     1833        2:1        2:1       1 
     1834        2:1        2:1       0.995 
     1835       10:9       10:9       0.863 
     1836        5:4       10:9   +   0.942 
     1837        1:0        1:0       0.684 
     1838       10:9       10:9       0.554 
     1839       10:9        9:8   +   0.63 
     1840        6:5        6:5       0.963 
     1841        2:1        2:1       0.967 
     1842        8:7        8:7       0.995 
     1843       10:9       10:9       0.839 
     1844       10:9       10:9       0.967 
     1845        9:8       10:9   +   0.931 
     1846       10:9       10:9       0.998 
     1847        1:0        1:0       0.999 
     1848        4:3        4:3       0.957 
     1849        2:1        2:1       0.999 
     1850       10:9       10:9       0.999 
     1851       10:9        6:5   +   0.915 
     1852        2:1        2:1       0.997 
     1853        3:2        6:5   +   0.499 
     1854       10:9       10:9       0.802 
     1855        2:1        2:1       0.998 
     1856        2:1        2:1       0.981 
     1857        5:4        5:4       0.996 
     1858        2:1        2:1       0.999 
     1859        2:1        2:1       0.997 
     1860       10:9       10:9       0.933 
     1861        2:1        2:1       0.991 
     1862       10:9       10:9       0.99 
     1863       10:9       10:9       0.985 
     1864       10:9       10:9       0.995 
     1865       10:9       10:9       0.997 
     1866        5:4        5:4       0.999 
     1867        7:6        7:6       0.892 
     1868        6:5        6:5       0.997 
     1869        8:7        8:7       0.998 
     1870        6:5        6:5       0.982 
     1871        9:8        2:1   +   0.82 
     1872       10:9       10:9       0.997 
     1873        2:1        2:1       0.999 
     1874        6:5        6:5       1 
     1875        5:4        5:4       0.946 
     1876       10:9       10:9       0.999 
     1877        4:3        4:3       0.931 
     1878        6:5        6:5       0.987 
     1879       10:9        1:0   +   0.689 
     1880        5:4        5:4       0.991 
     1881        5:4        5:4       0.467 
     1882        1:0        1:0       0.997 
     1883        5:4        5:4       1 
     1884        7:6        7:6       0.889 
     1885       10:9       10:9       0.647 
     1886        9:8        9:8       0.908 
     1887        2:1        2:1       0.999 
     1888        5:4        5:4       0.959 
     1889        9:8        9:8       0.996 
     1890        6:5        6:5       0.998 
     1891       10:9       10:9       0.591 
     1892       10:9        5:4   +   0.78 
     1893        9:8        9:8       0.973 
     1894        2:1        2:1       1 
     1895        2:1        2:1       1 
     1896        9:8        4:3   +   0.319 
     1897        2:1        2:1       0.998 
     1898        2:1        2:1       1 
     1899       10:9       10:9       0.996 
     1900       10:9        5:4   +   0.9 
     1901        4:3        4:3       0.956 
     1902       10:9       10:9       0.989 
     1903        1:0        1:0       1 
     1904       10:9        5:4   +   0.805 
     1905        5:4       10:9   +   0.716 
     1906       10:9       10:9       0.984 
     1907        5:4        5:4       1 
     1908        3:2        3:2       0.894 
     1909        2:1        2:1       0.994 
     1910        2:1        2:1       0.975 
     1911       10:9       10:9       0.993 
     1912        8:7        8:7       0.999 
     1913        1:0        1:0       0.919 
     1914        9:8        9:8       0.999 
     1915        1:0        1:0       0.971 
     1916        5:4        5:4       0.383 
     1917        2:1        2:1       0.998 
     1918        3:2        3:2       0.978 
     1919        2:1        2:1       0.999 
     1920       10:9       10:9       0.999 
     1921        2:1        2:1       0.998 
     1922       10:9       10:9       0.983 
     1923        5:4        5:4       0.981 
     1924       10:9       10:9       0.982 
     1925        5:4        5:4       0.995 
     1926        2:1        2:1       0.999 
     1927        1:0        1:0       0.634 
     1928        2:1        2:1       0.993 
     1929        8:7        8:7       0.998 
     1930       10:9       10:9       0.99 
     1931       10:9       10:9       1 
     1932       10:9       10:9       0.974 
     1933        2:1        2:1       0.997 
     1934        2:1        2:1       0.988 
     1935       10:9       10:9       0.993 
     1936        1:0        1:0       0.751 
     1937        2:1        2:1       0.976 
     1938       10:9       10:9       0.99 
     1939        2:1        2:1       0.999 
     1940       10:9       10:9       0.997 
     1941        5:4        5:4       0.965 
     1942        5:4        5:4       0.929 
     1943        7:6        6:5   +   0.656 
     1944       10:9       10:9       0.924 
     1945       10:9       10:9       0.455 
     1946        2:1        2:1       0.999 
     1947        4:3        4:3       0.974 
     1948        9:8        9:8       0.997 
     1949       10:9       10:9       0.998 
     1950        2:1        2:1       0.999 
     1951        5:4        5:4       0.998 
     1952        2:1        2:1       0.997 
     1953       10:9       10:9       0.999 
     1954        2:1        2:1       0.996 
     1955        5:4       10:9   +   0.916 
     1956        9:8        9:8       0.861 
     1957       10:9       10:9       0.999 
     1958        6:5        6:5       0.995 
     1959        2:1        2:1       0.942 
     1960        1:0        1:0       0.99 
     1961        8:7        8:7       0.998 
     1962        1:0        1:0       0.971 
     1963        1:0        1:0       0.812 
     1964        5:4        5:4       0.954 
     1965        4:3        4:3       0.902 
     1966       10:9       10:9       0.994 
     1967        8:7        4:3   +   0.875 
     1968       10:9       10:9       0.992 
     1969        2:1        2:1       0.999 
     1970        1:0        1:0       0.999 
     1971        5:4        5:4       0.997 
     1972        1:0        1:0       0.995 
     1973        2:1        2:1       1 
     1974        4:3        4:3       0.536 
     1975        3:2        3:2       0.903 
     1976        1:0        1:0       0.976 
     1977        2:1        2:1       1 
     1978       10:9       10:9       1 
     1979        9:8        9:8       0.922 
     1980        1:0        1:0       0.98 
     1981        1:0        3:2   +   0.681 
     1982        6:5        5:4   +   0.752 
     1983        2:1        2:1       0.993 
     1984        5:4        5:4       0.736 
     1985       10:9       10:9       0.954 
     1986        2:1        2:1       0.998 
     1987        6:5        6:5       0.994 
     1988        5:4        5:4       0.998 
     1989       10:9       10:9       1 
     1990        2:1        7:6   +   0.54 
     1991        9:8        9:8       0.965 
     1992        2:1        2:1       0.999 
     1993        5:4        5:4       0.968 
     1994       10:9       10:9       0.987 
     1995        2:1        2:1       0.999 
     1996        1:0        1:0       0.912 
     1997        2:1        2:1       0.999 
     1998        3:2        3:2       0.953 
     1999       10:9       10:9       0.998 
     2000        9:8        1:0   +   0.751 

=== Evaluation on test set ===

Time taken to test model on supplied test set: 15.28 seconds

=== Summary ===

Correctly Classified Instances        1838               91.9    %
Incorrectly Classified Instances       162                8.1    %
Mean absolute error                      0.0216
Root mean squared error                  0.1119
Relative absolute error                 12.8667 %
Root relative squared error             38.7656 %
Total Number of Instances             2000     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  Class
                 0.920    0.006    0.944      0.920    0.932      0
                 0.968    0.010    0.970      0.968    0.969      1
                 0.700    0.003    0.854      0.700    0.769      2
                 0.920    0.005    0.836      0.920    0.876      3
                 0.845    0.016    0.854      0.845    0.849      4
                 0.930    0.014    0.877      0.930    0.903      5
                 0.940    0.004    0.870      0.940    0.904      6
                 0.880    0.002    0.936      0.880    0.907      7
                 0.895    0.009    0.918      0.895    0.906      8
                 0.928    0.027    0.921      0.928    0.924      9
Weighted Avg.    0.919    0.014    0.919      0.919    0.919      

=== Confusion Matrix ===

   a   b   c   d   e   f   g   h   i   j   <-- classified as
 184   4   1   0   7   0   0   0   4   0 |   a = 0
   3 484   0   4   3   1   1   3   0   1 |   b = 1
   0   0  35   0   0   3   0   0   8   4 |   c = 2
   0   1   0  46   0   2   0   0   0   1 |   d = 3
   4   2   0   2 169   5   1   0   0  17 |   e = 4
   0   0   1   1   4 186   1   0   0   7 |   f = 5
   0   0   0   0   1   1  47   0   1   0 |   g = 6
   1   3   0   1   1   0   0  44   0   0 |   h = 7
   1   5   1   1   1   1   1   0 179  10 |   i = 8
   2   0   3   0  12  13   3   0   3 464 |   j = 9

