=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.3 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R -D
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
     1656        2:1        2:1       0.913 
     1657        5:4        5:4       0.988 
     1658        2:1        2:1       0.996 
     1659        8:7        8:7       0.995 
     1660       10:9        9:8   +   0.577 
     1661        9:8        9:8       0.976 
     1662       10:9       10:9       0.983 
     1663       10:9       10:9       0.826 
     1664       10:9       10:9       0.93 
     1665       10:9       10:9       0.917 
     1666       10:9       10:9       0.976 
     1667        6:5        6:5       0.995 
     1668        6:5        6:5       0.982 
     1669       10:9       10:9       0.706 
     1670        2:1        2:1       0.999 
     1671        2:1        4:3   +   0.761 
     1672        9:8        9:8       0.921 
     1673        1:0        1:0       0.891 
     1674       10:9       10:9       0.899 
     1675       10:9       10:9       0.999 
     1676        2:1        2:1       0.989 
     1677        9:8        9:8       0.998 
     1678        1:0        1:0       0.988 
     1679        2:1        2:1       0.999 
     1680        2:1        2:1       1 
     1681        2:1        2:1       0.995 
     1682        2:1        2:1       0.989 
     1683        5:4        5:4       0.987 
     1684       10:9       10:9       0.954 
     1685        9:8        9:8       0.62 
     1686       10:9       10:9       0.613 
     1687        1:0        1:0       0.978 
     1688        6:5        6:5       0.997 
     1689       10:9       10:9       0.953 
     1690        5:4        5:4       0.489 
     1691       10:9       10:9       0.958 
     1692        7:6        7:6       0.928 
     1693        3:2        3:2       0.966 
     1694        6:5        6:5       0.998 
     1695       10:9       10:9       0.999 
     1696        2:1        2:1       0.996 
     1697       10:9       10:9       0.854 
     1698       10:9       10:9       0.977 
     1699        2:1        2:1       0.988 
     1700        5:4        5:4       0.997 
     1701        2:1        2:1       0.996 
     1702        2:1        2:1       0.999 
     1703        3:2        3:2       0.486 
     1704       10:9       10:9       0.92 
     1705        7:6       10:9   +   0.423 
     1706       10:9       10:9       0.971 
     1707        4:3        4:3       0.972 
     1708        1:0        1:0       0.951 
     1709        2:1        2:1       0.998 
     1710       10:9        5:4   +   0.984 
     1711        2:1        2:1       1 
     1712        2:1        2:1       0.996 
     1713        2:1        2:1       0.999 
     1714        2:1        2:1       0.871 
     1715       10:9       10:9       0.997 
     1716        3:2        3:2       0.853 
     1717        2:1        2:1       0.992 
     1718       10:9       10:9       0.993 
     1719        2:1        2:1       1 
     1720        6:5        6:5       0.989 
     1721        9:8        9:8       0.915 
     1722        6:5        6:5       0.995 
     1723        6:5        6:5       0.969 
     1724       10:9       10:9       0.987 
     1725        8:7        2:1   +   0.479 
     1726       10:9        6:5   +   0.489 
     1727        9:8        9:8       0.844 
     1728        5:4        5:4       0.969 
     1729       10:9       10:9       0.976 
     1730        1:0        1:0       0.983 
     1731        5:4        5:4       0.997 
     1732        8:7        8:7       0.997 
     1733        9:8        9:8       0.996 
     1734       10:9       10:9       0.998 
     1735       10:9       10:9       1 
     1736       10:9       10:9       0.987 
     1737       10:9       10:9       0.993 
     1738        9:8        9:8       0.991 
     1739        6:5        6:5       0.982 
     1740        2:1        2:1       0.985 
     1741       10:9       10:9       0.975 
     1742       10:9        7:6   +   0.796 
     1743        2:1        1:0   +   0.671 
     1744        1:0        1:0       0.988 
     1745       10:9       10:9       0.978 
     1746        1:0        1:0       0.951 
     1747        1:0        1:0       0.936 
     1748        8:7        8:7       1 
     1749       10:9       10:9       0.999 
     1750        2:1        2:1       0.999 
     1751       10:9       10:9       0.798 
     1752       10:9       10:9       0.997 
     1753        1:0        1:0       0.783 
     1754        8:7        8:7       0.996 
     1755        6:5        6:5       0.892 
     1756        2:1        2:1       0.999 
     1757        1:0        1:0       0.886 
     1758        2:1        2:1       0.998 
     1759        2:1        2:1       0.993 
     1760        5:4        5:4       0.98 
     1761        6:5        6:5       0.993 
     1762        5:4        5:4       0.942 
     1763       10:9       10:9       0.997 
     1764        7:6        7:6       0.945 
     1765        6:5        4:3   +   0.533 
     1766       10:9       10:9       0.995 
     1767        6:5        6:5       0.994 
     1768       10:9       10:9       0.759 
     1769       10:9       10:9       0.799 
     1770        6:5        6:5       0.989 
     1771        9:8        9:8       0.842 
     1772        9:8        9:8       0.989 
     1773       10:9       10:9       0.981 
     1774        6:5        6:5       0.975 
     1775        2:1        2:1       0.998 
     1776        2:1        2:1       0.998 
     1777       10:9       10:9       0.992 
     1778       10:9       10:9       0.975 
     1779        7:6        7:6       0.926 
     1780        1:0        1:0       0.996 
     1781        2:1        2:1       0.977 
     1782        2:1        2:1       0.981 
     1783        4:3        4:3       0.979 
     1784        1:0        1:0       0.969 
     1785        1:0        1:0       0.728 
     1786        5:4        5:4       0.741 
     1787        1:0        1:0       0.977 
     1788        1:0        1:0       0.999 
     1789        9:8        9:8       0.993 
     1790       10:9       10:9       0.989 
     1791        9:8        9:8       0.812 
     1792        5:4        5:4       0.7 
     1793        2:1        2:1       0.996 
     1794        5:4        5:4       0.97 
     1795        2:1        2:1       0.993 
     1796       10:9       10:9       0.935 
     1797        6:5        6:5       0.991 
     1798        1:0        1:0       0.999 
     1799        8:7        8:7       0.987 
     1800        6:5        6:5       0.835 
     1801        5:4        5:4       0.996 
     1802        6:5        6:5       0.945 
     1803        5:4        5:4       0.543 
     1804        2:1        2:1       0.974 
     1805        1:0        1:0       0.999 
     1806        2:1        2:1       0.997 
     1807       10:9       10:9       0.986 
     1808       10:9       10:9       0.998 
     1809       10:9        6:5   +   0.96 
     1810        2:1        2:1       0.876 
     1811        3:2        3:2       0.53 
     1812        6:5        6:5       0.929 
     1813        9:8        9:8       0.859 
     1814        5:4        5:4       0.928 
     1815        2:1        2:1       0.997 
     1816        5:4        5:4       0.701 
     1817       10:9       10:9       0.997 
     1818        9:8       10:9   +   0.563 
     1819        9:8       10:9   +   0.551 
     1820        1:0        5:4   +   0.769 
     1821        2:1        2:1       1 
     1822        9:8        9:8       0.995 
     1823        5:4        5:4       0.777 
     1824        1:0        1:0       0.57 
     1825        2:1        2:1       1 
     1826        4:3        4:3       0.977 
     1827        2:1        2:1       0.997 
     1828        9:8        9:8       0.826 
     1829        2:1        2:1       0.995 
     1830       10:9       10:9       0.983 
     1831        2:1        2:1       0.996 
     1832        5:4        5:4       0.989 
     1833        2:1        2:1       1 
     1834        2:1        2:1       0.994 
     1835       10:9       10:9       0.943 
     1836        5:4       10:9   +   0.924 
     1837        1:0        5:4   +   0.496 
     1838       10:9       10:9       0.496 
     1839       10:9        9:8   +   0.912 
     1840        6:5        6:5       0.886 
     1841        2:1        2:1       0.977 
     1842        8:7        8:7       0.998 
     1843       10:9       10:9       0.821 
     1844       10:9       10:9       0.923 
     1845        9:8       10:9   +   0.774 
     1846       10:9       10:9       0.998 
     1847        1:0        1:0       0.999 
     1848        4:3        4:3       0.914 
     1849        2:1        2:1       0.999 
     1850       10:9       10:9       0.995 
     1851       10:9       10:9       0.677 
     1852        2:1        2:1       0.996 
     1853        3:2        3:2       0.735 
     1854       10:9       10:9       0.843 
     1855        2:1        2:1       0.995 
     1856        2:1        2:1       0.991 
     1857        5:4        5:4       0.947 
     1858        2:1        2:1       0.996 
     1859        2:1        2:1       0.993 
     1860       10:9       10:9       0.827 
     1861        2:1        2:1       0.989 
     1862       10:9       10:9       0.962 
     1863       10:9       10:9       0.975 
     1864       10:9       10:9       0.995 
     1865       10:9       10:9       0.995 
     1866        5:4        5:4       0.998 
     1867        7:6        7:6       0.777 
     1868        6:5        6:5       0.964 
     1869        8:7        8:7       0.991 
     1870        6:5        6:5       0.991 
     1871        9:8        2:1   +   0.554 
     1872       10:9       10:9       0.987 
     1873        2:1        2:1       0.999 
     1874        6:5        6:5       0.997 
     1875        5:4        5:4       0.954 
     1876       10:9       10:9       0.999 
     1877        4:3        4:3       0.883 
     1878        6:5        6:5       0.804 
     1879       10:9        1:0   +   0.866 
     1880        5:4        5:4       0.967 
     1881        5:4        1:0   +   0.581 
     1882        1:0        1:0       0.993 
     1883        5:4        5:4       0.999 
     1884        7:6        7:6       0.564 
     1885       10:9       10:9       0.556 
     1886        9:8        9:8       0.888 
     1887        2:1        2:1       0.996 
     1888        5:4        5:4       0.928 
     1889        9:8        9:8       0.975 
     1890        6:5        6:5       0.997 
     1891       10:9       10:9       0.893 
     1892       10:9        5:4   +   0.918 
     1893        9:8        9:8       0.918 
     1894        2:1        2:1       0.999 
     1895        2:1        2:1       0.998 
     1896        9:8        9:8       0.385 
     1897        2:1        2:1       0.998 
     1898        2:1        2:1       1 
     1899       10:9       10:9       0.991 
     1900       10:9        5:4   +   0.7 
     1901        4:3        4:3       0.943 
     1902       10:9       10:9       0.957 
     1903        1:0        1:0       1 
     1904       10:9        5:4   +   0.737 
     1905        5:4       10:9   +   0.58 
     1906       10:9       10:9       0.957 
     1907        5:4        5:4       0.999 
     1908        3:2        3:2       0.67 
     1909        2:1        2:1       0.989 
     1910        2:1        2:1       0.963 
     1911       10:9       10:9       0.96 
     1912        8:7        8:7       0.998 
     1913        1:0        1:0       0.932 
     1914        9:8        9:8       0.993 
     1915        1:0        1:0       0.89 
     1916        5:4        9:8   +   0.396 
     1917        2:1        2:1       0.992 
     1918        3:2        3:2       0.916 
     1919        2:1        2:1       0.999 
     1920       10:9       10:9       0.997 
     1921        2:1        2:1       0.994 
     1922       10:9       10:9       0.979 
     1923        5:4        5:4       0.96 
     1924       10:9       10:9       0.935 
     1925        5:4        5:4       0.986 
     1926        2:1        2:1       0.998 
     1927        1:0        1:0       0.65 
     1928        2:1        2:1       0.995 
     1929        8:7        8:7       0.998 
     1930       10:9       10:9       0.975 
     1931       10:9       10:9       0.999 
     1932       10:9       10:9       0.963 
     1933        2:1        2:1       0.993 
     1934        2:1        2:1       0.958 
     1935       10:9       10:9       0.992 
     1936        1:0        1:0       0.563 
     1937        2:1        2:1       0.983 
     1938       10:9       10:9       0.964 
     1939        2:1        2:1       0.997 
     1940       10:9       10:9       0.987 
     1941        5:4        5:4       0.94 
     1942        5:4        5:4       0.986 
     1943        7:6        6:5   +   0.421 
     1944       10:9       10:9       0.885 
     1945       10:9       10:9       0.475 
     1946        2:1        2:1       0.999 
     1947        4:3        4:3       0.938 
     1948        9:8        9:8       0.994 
     1949       10:9       10:9       0.993 
     1950        2:1        2:1       0.999 
     1951        5:4        5:4       0.98 
     1952        2:1        2:1       0.998 
     1953       10:9       10:9       0.998 
     1954        2:1        2:1       0.998 
     1955        5:4       10:9   +   0.897 
     1956        9:8        9:8       0.726 
     1957       10:9       10:9       0.997 
     1958        6:5        6:5       0.985 
     1959        2:1        2:1       0.949 
     1960        1:0        1:0       0.947 
     1961        8:7        8:7       0.997 
     1962        1:0        1:0       0.922 
     1963        1:0        3:2   +   0.668 
     1964        5:4        5:4       0.886 
     1965        4:3        4:3       0.911 
     1966       10:9       10:9       0.988 
     1967        8:7        4:3   +   0.779 
     1968       10:9       10:9       0.998 
     1969        2:1        2:1       0.996 
     1970        1:0        1:0       0.995 
     1971        5:4        5:4       0.984 
     1972        1:0        1:0       0.985 
     1973        2:1        2:1       0.998 
     1974        4:3        4:3       0.601 
     1975        3:2        3:2       0.754 
     1976        1:0        1:0       0.881 
     1977        2:1        2:1       1 
     1978       10:9       10:9       0.998 
     1979        9:8        9:8       0.865 
     1980        1:0        1:0       0.919 
     1981        1:0        9:8   +   0.665 
     1982        6:5        5:4   +   0.764 
     1983        2:1        2:1       0.991 
     1984        5:4        5:4       0.607 
     1985       10:9       10:9       0.841 
     1986        2:1        2:1       0.998 
     1987        6:5        6:5       0.961 
     1988        5:4        5:4       0.99 
     1989       10:9       10:9       1 
     1990        2:1        2:1       0.48 
     1991        9:8        9:8       0.948 
     1992        2:1        2:1       0.994 
     1993        5:4        5:4       0.92 
     1994       10:9       10:9       0.963 
     1995        2:1        2:1       0.998 
     1996        1:0        1:0       0.881 
     1997        2:1        2:1       0.994 
     1998        3:2        3:2       0.881 
     1999       10:9       10:9       0.994 
     2000        9:8        1:0   +   0.778 

=== Evaluation on test set ===

Time taken to test model on supplied test set: 17.85 seconds

=== Summary ===

Correctly Classified Instances        1841               92.05   %
Incorrectly Classified Instances       159                7.95   %
Mean absolute error                      0.0253
Root mean squared error                  0.113 
Relative absolute error                 15.0894 %
Root relative squared error             39.1519 %
Total Number of Instances             2000     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  Class
                 0.910    0.007    0.938      0.910    0.924      0
                 0.968    0.010    0.970      0.968    0.969      1
                 0.700    0.004    0.833      0.700    0.761      2
                 0.880    0.005    0.815      0.880    0.846      3
                 0.840    0.017    0.844      0.840    0.842      4
                 0.935    0.011    0.903      0.935    0.919      5
                 0.940    0.003    0.887      0.940    0.913      6
                 0.880    0.003    0.898      0.880    0.889      7
                 0.915    0.011    0.906      0.915    0.910      8
                 0.934    0.023    0.932      0.934    0.933      9
Weighted Avg.    0.921    0.013    0.921      0.921    0.920      

=== Confusion Matrix ===

   a   b   c   d   e   f   g   h   i   j   <-- classified as
 182   4   1   0   9   0   0   0   4   0 |   a = 0
   3 484   0   3   3   2   0   4   0   1 |   b = 1
   2   0  35   0   1   1   0   0   9   2 |   c = 2
   0   2   0  44   0   3   0   1   0   0 |   d = 3
   4   1   0   3 168   4   2   0   1  17 |   e = 4
   0   0   1   3   3 187   1   0   0   5 |   f = 5
   0   0   0   0   0   1  47   0   1   1 |   g = 6
   1   3   0   1   1   0   0  44   0   0 |   h = 7
   1   5   1   0   1   1   0   0 183   8 |   i = 8
   1   0   4   0  13   8   3   0   4 467 |   j = 9

